Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
Fitzcarraldo,(1982),158 min,8.0,0,"36,922",0,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle."
Anatomy of a Murder,(1959),161 min,8.0,95        ,"68,909",$11.90M,"An upstate Michigan lawyer defends a soldier who claims he killed an innkeeper due to temporary insanity after the victim raped his wife. What is the truth, and will he win his case?"
Wolfwalkers,(2020),103 min,8.0,87        ,"36,002",0,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.
Infernal Affairs,(2002),101 min,8.0,75        ,"128,370",$0.17M,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop."
The Tale of The Princess Kaguya,(2013),137 min,8.0,89        ,"50,493",$1.51M,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime."
"Quo Vadis, Aida?",(2020),101 min,8.0,97        ,"36,394",0,"Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp."
Who's Afraid of Virginia Woolf?,(1966),131 min,8.0,75        ,"78,021",0,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night."
Secrets & Lies,(1996),136 min,8.0,91        ,"45,484",$13.42M,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London."
Baahubali: The Beginning,(2015),159 min,8.0,0,"131,362",$6.74M,"A child from the Mahishmati kingdom is raised by tribal people and one day learns about his royal heritage, his father's bravery in battle and a mission to overthrow the incumbent ruler."
The Leopard,(1963),186 min,8.0,100        ,"27,621",0,"The Prince of Salina, a noble aristocrat of impeccable integrity, tries to preserve his family and class amid the tumultuous social upheavals of 1860s Sicily."
The Cabinet of Dr. Caligari,(1920),67 min,8.0,0,"67,217",0,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders."
Touch of Evil,(1958),95 min,8.0,99        ,"107,463",$2.24M,"A stark, perverse story of murder, kidnapping and police corruption in a Mexican border town."
The Legend of 1900,(1998),169 min,8.0,58        ,"67,222",$0.26M,"A baby boy discovered on an ocean liner in 1900 grows into a musical prodigy, never setting foot on land."
Nostalghia,(1983),125 min,8.0,0,"28,812",$0.01M,"A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved."
Elite Squad,(2007),115 min,8.0,33        ,"107,389",$0.01M,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits."
Le Samouraï,(1967),101 min,8.0,0,"54,228",$0.04M,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.
Nobody Knows,(2004),141 min,8.0,88        ,"29,766",$0.68M,"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning."
Song of the Sea,(2014),93 min,8.0,85        ,"61,193",$0.86M,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world."
Out of the Past,(1947),97 min,8.0,85        ,"39,361",0,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames."
The Diving Bell and the Butterfly,(2007),112 min,8.0,92        ,"109,156",$5.99M,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.
Brief Encounter,(1945),86 min,8.0,92        ,"42,357",0,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband."
"Goodbye, Children",(1987),104 min,8.0,88        ,"35,186",$4.54M,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. Occupying the next bed in the dormitory to the top student in his class, the two young boys begin to form a bond."
My Sassy Girl,(2001),137 min,8.0,0,"49,530",0,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train."
Sleuth,(1972),138 min,8.0,0,"49,083",$4.08M,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results."
Sweet Smell of Success,(1957),96 min,8.0,100        ,"34,253",0,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.
The Sea Inside,(I) (2004),126 min,8.0,74        ,"83,758",$2.09M,"The factual story of Spaniard Ramon Sampedro, who fought a 28-year campaign in favor of euthanasia and his own right to die."
Cries & Whispers,(1972),91 min,8.0,0,"35,756",$1.74M,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface."
Persepolis,(2007),96 min,8.0,90        ,"97,704",$4.45M,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.
Stalag 17,(1953),120 min,8.0,84        ,"57,371",0,"After two Americans are killed while escaping from a German P.O.W. camp in World War II, the barracks black marketeer, J.J. Sefton, is suspected of being an informer."
Ivan's Childhood,(1962),95 min,8.0,0,"38,444",0,"During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines."
Sanjuro,(1962),96 min,8.0,0,"39,818",0,"A crafty samurai helps a young man and his fellow clansmen trying to save his uncle, who has been framed and imprisoned by a corrupt superintendent."
Departures,(2008),130 min,8.0,68        ,"53,762",$1.50M,A newly unemployed cellist takes a job preparing the dead for funerals.
"Black Cat, White Cat",(1998),127 min,8.0,73        ,"55,346",$0.35M,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.
Dilwale Dulhania Le Jayenge,(1995),181 min,8.0,0,"73,636",0,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt."
Kind Hearts and Coronets,(1949),106 min,8.0,0,"38,745",0,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.
"Spring, Summer, Fall, Winter... and Spring",(2003),103 min,8.0,85        ,"85,146",$2.38M,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.
La strada,(1954),108 min,8.0,0,"65,173",0,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way."
M.S. Dhoni: The Untold Story,(2016),184 min,8.0,0,"64,241",$1.78M,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.
Haider,(2014),160 min,8.0,0,"56,355",$0.90M,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate."
The Shop Around the Corner,(1940),99 min,8.0,96        ,"35,790",$0.20M,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal."
The Wild Pear Tree,(2018),188 min,8.0,86        ,"26,014",$0.03M,"An unpublished writer returns to his hometown after graduating, where he seeks sponsors to publish his book while dealing with his father's deteriorating indulgence into gambling."
The Exterminating Angel,(1962),95 min,8.0,0,"34,435",0,The guests at an upper-class dinner party find themselves unable to leave.
Central Station,(1998),110 min,8.0,80        ,"41,142",$5.60M,"The emotive journey of a former schoolteacher who writes letters for illiterate people, and a young boy whose mother has just died, as they search for the father he never knew."
Tae Guk Gi: The Brotherhood of War,(2004),140 min,8.0,64        ,"40,508",$1.11M,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle."
Elite Squad 2: The Enemy Within,(2010),115 min,8.0,71        ,"85,129",$0.10M,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups."
"Rome, Open City",(1945),103 min,8.0,0,"27,936",0,"During the Nazi occupation of Rome in 1944, the Resistance leader, Giorgio Manfredi, is chased by the Nazis as he seeks refuge and a way to escape."
